"Sociedades","Escenario","Moneda","Corte real","Metodología","Tipo de fila","Categoría","Cuenta","Descripción","Dimensión","2026-01 · Real","2026-02 · Real","2026-03 · Real","2026-04 · Real","2026-05 · Real","2026-06 · Real","2026-07 · Real","2026-08 · Real","2026-09 · Proyectado","2026-10 · Proyectado","2026-11 · Proyectado","2026-12 · Proyectado","Real YTD","Proyección restante","Total anual","Período del ajuste","Importe ajustado","Motivo / filtro"
"Sociedad de demostración","Plan comercial 2026","USD","2026-08-31","Promedio mensual YTD","Detalle","Ingresos","400101","Ingresos por servicios profesionales","Administración","100000.00","100000.00","100000.00","100000.00","100000.00","100000.00","100000.00","100000.00","125000.00","100000.00","100000.00","100000.00","800000.00","425000.00","1225000.00","","",""
"Sociedad de demostración","Plan comercial 2026","USD","2026-08-31","Promedio mensual YTD","Detalle","Costos","500101","Costos de operación regional","Operaciones","40000.00","40000.00","40000.00","40000.00","40000.00","40000.00","40000.00","40000.00","40000.00","40000.00","40000.00","40000.00","320000.00","160000.00","480000.00","","",""
"Sociedad de demostración","Plan comercial 2026","USD","2026-08-31","Promedio mensual YTD","Detalle","Gastos","600101","Gastos administrativos y comerciales","Administración","15000.00","15000.00","15000.00","15000.00","15000.00","15000.00","15000.00","15000.00","15000.00","-1500.00","15000.00","15000.00","120000.00","43500.00","163500.00","","",""
"Sociedad de demostración","Plan comercial 2026","USD","2026-08-31","Promedio mensual YTD","Resumen","","","Total ingresos","Todas las dimensiones","100000.00","100000.00","100000.00","100000.00","100000.00","100000.00","100000.00","100000.00","125000.00","100000.00","100000.00","100000.00","800000.00","425000.00","1225000.00","","",""
"Sociedad de demostración","Plan comercial 2026","USD","2026-08-31","Promedio mensual YTD","Resumen","","","Total costos","Todas las dimensiones","40000.00","40000.00","40000.00","40000.00","40000.00","40000.00","40000.00","40000.00","40000.00","40000.00","40000.00","40000.00","320000.00","160000.00","480000.00","","",""
"Sociedad de demostración","Plan comercial 2026","USD","2026-08-31","Promedio mensual YTD","Resumen","","","Utilidad bruta","Todas las dimensiones","60000.00","60000.00","60000.00","60000.00","60000.00","60000.00","60000.00","60000.00","85000.00","60000.00","60000.00","60000.00","480000.00","265000.00","745000.00","","",""
"Sociedad de demostración","Plan comercial 2026","USD","2026-08-31","Promedio mensual YTD","Resumen","","","Total gastos","Todas las dimensiones","15000.00","15000.00","15000.00","15000.00","15000.00","15000.00","15000.00","15000.00","15000.00","-1500.00","15000.00","15000.00","120000.00","43500.00","163500.00","","",""
"Sociedad de demostración","Plan comercial 2026","USD","2026-08-31","Promedio mensual YTD","Resumen","","","Resultado neto","Todas las dimensiones","45000.00","45000.00","45000.00","45000.00","45000.00","45000.00","45000.00","45000.00","70000.00","61500.00","45000.00","45000.00","360000.00","221500.00","581500.00","","",""
"Sociedad de demostración","Plan comercial 2026","USD","2026-08-31","Promedio mensual YTD","Ajuste manual","","400101","Ingresos por servicios profesionales","Administración","","","","","","","","","","","","","","","","2026-09","125000.00","Contrato adicional previsto para septiembre"
"Sociedad de demostración","Plan comercial 2026","USD","2026-08-31","Promedio mensual YTD","Filtro","","","Departamento","","","","","","","","","","","","","","","","","","","Todos"
"Sociedad de demostración","Plan comercial 2026","USD","2026-08-31","Promedio mensual YTD","Filtro","","","Nivel de detalle","","","","","","","","","","","","","","","","","","","Cuentas"
"Sociedad de demostración","Plan comercial 2026","USD","2026-08-31","Promedio mensual YTD","Filtro","","","Excluir cierres","","","","","","","","","","","","","","","","","","","Sí"
"Sociedad de demostración","Plan comercial 2026","USD","2026-08-31","Promedio mensual YTD","Nota","","","Criterio de cálculo","","","","","","","","","","","","","","","","","","","Los meses futuros se proyectan con base en el promedio mensual YTD."
